batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
3,4096,2,30,,yes,
4,4096,2,30,,yes,
5,4096,2,30,,yes,
1,4096,2,31,,yes,
2,4096,2,31,,yes,
3,4096,2,31,,yes,
4,4096,2,31,,yes,
5,4096,2,31,,yes,
1,4096,2,32,,yes,
2,4096,2,32,,yes,
3,4096,2,32,,yes,
4,4096,2,32,,yes,
5,4096,2,32,,yes,
1,512,4,25,216557056.0,no,528.8290977478027
2,512,4,25,216557056.0,no,372.1134662628174
3,512,4,25,216557056.0,no,439.6536350250244
4,512,4,25,216557056.0,no,363.18278312683105
5,512,4,25,216557056.0,no,364.40253257751465
1,512,4,26,219965952.0,no,484.3282699584961
2,512,4,26,219965952.0,no,369.6608543395996
3,512,4,26,219965952.0,no,452.789306640625
4,512,4,26,219965952.0,no,376.65653228759766
5,512,4,26,219965952.0,no,429.38971519470215
1,512,4,27,223374848.0,no,359.1272830963135
2,512,4,27,223374848.0,no,369.81868743896484
3,512,4,27,223374848.0,no,447.32165336608887
4,512,4,27,223374848.0,no,381.18648529052734
5,512,4,27,223374848.0,no,446.90585136413574
1,512,4,28,226783744.0,no,368.5462474822998
2,512,4,28,226783744.0,no,437.1500015258789
3,512,4,28,226783744.0,no,363.71326446533203
4,512,4,28,226783744.0,no,361.59801483154297
5,512,4,28,226783744.0,no,433.4859848022461
1,512,4,29,230192640.0,no,385.01977920532227
2,512,4,29,230192640.0,no,461.026668548584
3,512,4,29,230192640.0,no,394.5732116699219
4,512,4,29,230192640.0,no,455.80029487609863
5,512,4,29,230192640.0,no,360.31508445739746
1,512,4,30,233601536.0,no,369.69757080078125
2,512,4,30,233601536.0,no,442.8131580352783
3,512,4,30,233601536.0,no,366.4402961730957
4,512,4,30,233601536.0,no,435.0266456604004
5,512,4,30,233601536.0,no,360.9962463378906
1,512,4,31,237010432.0,no,432.1410655975342
2,512,4,31,237010432.0,no,375.6897449493408
3,512,4,31,237010432.0,no,429.36253547668457
4,512,4,31,237010432.0,no,362.9021644592285
5,512,4,31,237010432.0,no,361.21344566345215
1,512,4,32,240419328.0,no,430.126428604126
2,512,4,32,240419328.0,no,362.152099609375
3,512,4,32,240419328.0,no,434.4828128814697
4,512,4,32,240419328.0,no,379.1828155517578
5,512,4,32,240419328.0,no,449.3541717529297
1,768,4,25,373987584.0,no,357.55205154418945
2,768,4,25,373987584.0,no,356.781005859375
3,768,4,25,373987584.0,no,459.00797843933105
4,768,4,25,373987584.0,no,358.87932777404785
5,768,4,25,373987584.0,no,441.69139862060547
1,768,4,26,381067008.0,no,373.68202209472656
2,768,4,26,381067008.0,no,435.5003833770752
3,768,4,26,381067008.0,no,361.1152172088623
4,768,4,26,381067008.0,no,375.96893310546875
5,768,4,26,381067008.0,no,425.45509338378906
1,768,4,27,388146432.0,no,376.4359951019287
2,768,4,27,388146432.0,no,430.8793544769287
3,768,4,27,388146432.0,no,365.80443382263184
4,768,4,27,388146432.0,no,434.99755859375
5,768,4,27,388146432.0,no,392.5440311431885
1,768,4,28,395225856.0,no,388.6580467224121
2,768,4,28,395225856.0,no,455.35778999328613
3,768,4,28,395225856.0,no,376.2698173522949
4,768,4,28,395225856.0,no,430.73344230651855
5,768,4,28,395225856.0,no,368.95084381103516
1,768,4,29,402305280.0,no,430.42540550231934
2,768,4,29,402305280.0,no,364.6352291107178
3,768,4,29,402305280.0,no,470.7062244415283
4,768,4,29,402305280.0,no,462.2774124145508
5,768,4,29,402305280.0,no,395.7967758178711
1,768,4,30,409384704.0,no,434.3373775482178
2,768,4,30,409384704.0,no,357.0740222930908
3,768,4,30,409384704.0,no,438.67039680480957
4,768,4,30,409384704.0,no,364.4082546234131
5,768,4,30,409384704.0,no,432.15203285217285
1,768,4,31,416464128.0,no,367.7823543548584
2,768,4,31,416464128.0,no,365.053653717041
3,768,4,31,416464128.0,no,445.21236419677734
4,768,4,31,416464128.0,no,365.1609420776367
5,768,4,31,416464128.0,no,435.35757064819336
1,768,4,32,423543552.0,no,368.61467361450195
2,768,4,32,423543552.0,no,438.2309913635254
3,768,4,32,423543552.0,no,365.98682403564453
4,768,4,32,423543552.0,no,365.602970123291
5,768,4,32,423543552.0,no,450.78492164611816
1,1024,4,25,583846912.0,no,359.0350151062012
2,1024,4,25,583846912.0,no,429.49414253234863
3,1024,4,25,583846912.0,no,360.13293266296387
4,1024,4,25,583846912.0,no,451.2300491333008
5,1024,4,25,583846912.0,no,373.7809658050537
1,1024,4,26,596694016.0,no,358.78753662109375
2,1024,4,26,596694016.0,no,428.358793258667
3,1024,4,26,596694016.0,no,360.7907295227051
4,1024,4,26,596694016.0,no,429.57234382629395
5,1024,4,26,596694016.0,no,361.45567893981934
1,1024,4,27,609541120.0,no,430.91320991516113
2,1024,4,27,609541120.0,no,363.80815505981445
3,1024,4,27,609541120.0,no,361.79065704345703
4,1024,4,27,609541120.0,no,429.2938709259033
5,1024,4,27,609541120.0,no,359.0233325958252
1,1024,4,28,622388224.0,no,434.65113639831543
2,1024,4,28,622388224.0,no,362.6105785369873
3,1024,4,28,622388224.0,no,431.83326721191406
4,1024,4,28,622388224.0,no,361.4611625671387
5,1024,4,28,622388224.0,no,361.71650886535645
1,1024,4,29,635235328.0,no,428.4391403198242
2,1024,4,29,635235328.0,no,367.6567077636719
3,1024,4,29,635235328.0,no,456.1190605163574
4,1024,4,29,635235328.0,no,376.3134479522705
5,1024,4,29,635235328.0,no,442.1415328979492
1,1024,4,30,648082432.0,no,365.9803867340088
2,1024,4,30,648082432.0,no,359.4961166381836
3,1024,4,30,648082432.0,no,426.9587993621826
4,1024,4,30,648082432.0,no,363.74497413635254
5,1024,4,30,648082432.0,no,432.39355087280273
1,1024,4,31,660929536.0,no,366.4383888244629
2,1024,4,31,660929536.0,no,443.28951835632324
3,1024,4,31,660929536.0,no,385.52260398864746
4,1024,4,31,660929536.0,no,452.9297351837158
5,1024,4,31,660929536.0,no,417.97614097595215
